i,w,x,w1,x1,DIF
12,a,ADP,a,ADP,True
13,grupos,NOUN,grupos,NOUN,True
14,presentes,ADJ,presentes,ADJ,True
15-16,na,_,na,_,True
15,em,ADP,em,ADP,True
16,a,DET,a,DET,True
17,cadeia,NOUN,cadeia,NOUN,True
18,polimérica,ADJ,polimérica,ADJ,True
19,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Uma,DET,Uma,DET,True
2,membrana,NOUN,membrana,NOUN,True
3,de,ADP,de,ADP,True
4,troca,NOUN,troca,NOUN,True
5,iônica,ADJ,iônica,ADJ,True
6,deve,VERB,deve,VERB,True
7,possuir,VERB,possuir,VERB,True
8,algumas,DET,algumas,DET,True
9,propriedades,NOUN,propriedades,NOUN,True
10,fundamentais,ADJ,fundamentais,ADJ,True
11,para,ADP,para,ADP,True
12,seu,DET,seu,DET,True
13,bom,ADJ,bom,ADJ,True
14,funcionamento,NOUN,funcionamento,NOUN,True
15,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Não,ADV,Não,ADV,True
2,pode,VERB,pode,VERB,True
3,ser,AUX,ser,AUX,True
4,permeável,ADJ,permeável,ADJ,True
5,a,ADP,a,ADP,True
6,gases,NOUN,gases,NOUN,True
7,e,CCONJ,e,CCONJ,True
8,deve,VERB,deve,VERB,True
9,promover,VERB,promover,VERB,True
10,o,DET,o,DET,True
11,transporte,NOUN,transporte,NOUN,True
12,de,ADP,de,ADP,True
13,íons,NOUN,íons,NOUN,True
14,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Além,ADV,Além,ADV,True
2-3,disso,_,disso,_,True
2,de,ADP,de,ADP,True
3,isso,PRON,isso,PRON,True
4,",",PUNCT,",",PUNCT,True
5,é,AUX,é,AUX,True
6,preciso,ADJ,preciso,ADJ,True
7,que,SCONJ,que,SCONJ,True
8,tenham,VERB,tenham,VERB,True
9,boa,ADJ,boa,ADJ,True
10,resistência,NOUN,resistência,NOUN,True
11,mecânica,ADJ,mecânica,ADJ,True
12,(,PUNCT,(,PUNCT,True
13,para,SCONJ,para,SCONJ,True
14,que,SCONJ,que,SCONJ,True
15,suportem,VERB,suportem,VERB,True
16,as,DET,as,DET,True
17,condições,NOUN,condições,NOUN,True
18-19,da,_,da,_,True
18,de,ADP,de,ADP,True
19,a,DET,a,DET,True
20,célula,NOUN,célula,NOUN,True
21,),PUNCT,),PUNCT,True
22,",",PUNCT,",",PUNCT,True
23,estabilidade,NOUN,estabilidade,NOUN,True
24,dimensional,ADJ,dimensional,ADJ,True
25,(,PUNCT,(,PUNCT,True
26,não,ADV,não,ADV,True
27,deve,VERB,deve,VERB,True
28,inchar,VERB,inchar,VERB,True
29,nem,CCONJ,nem,CCONJ,True
30,encolher,VERB,encolher,VERB,True
31,",",PUNCT,",",PUNCT,True
32,independentemente,ADV,independentemente,ADV,True
33-34,das,_,das,_,True
33,de,ADP,de,ADP,True
34,as,DET,as,DET,True
35,condições,NOUN,condições,NOUN,True
36,),PUNCT,),PUNCT,True
37,e,CCONJ,e,CCONJ,True
38,estabilidade,NOUN,estabilidade,NOUN,True
39,química,ADJ,química,ADJ,True
40,",",PUNCT,",",PUNCT,True
41,que,PRON,que,PRON,True
42,devem,VERB,devem,VERB,True
43,suportar,VERB,suportar,VERB,True
44,meios,NOUN,meios,NOUN,True
45-46,na,_,na,_,True
45,em,ADP,em,ADP,True
46,a,DET,a,DET,True
47,faixa,NOUN,faixa,NOUN,True
48,de,ADP,de,ADP,True
49,pH,NOUN,pH,NOUN,True
50,de,ADP,de,ADP,True
51,operação,NOUN,operação,NOUN,True
52,",",PUNCT,",",PUNCT,True
53,assim,ADV,assim,ADV,True
54,como,ADP,como,ADP,True
55,agentes,NOUN,agentes,NOUN,True
56,oxidantes,ADJ,oxidantes,ADJ,True
57,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Vários,DET,Vários,DET,True
2,trabalhos,NOUN,trabalhos,NOUN,True
3,têm,AUX,têm,AUX,True
4,sido,AUX,sido,AUX,True
5,desenvolvidos,VERB,desenvolvidos,VERB,True
6-7,na,_,na,_,True
6,em,ADP,em,ADP,True
7,a,DET,a,DET,True
8,intenção,NOUN,intenção,NOUN,True
9,de,SCONJ,de,SCONJ,True
10,obter,VERB,obter,VERB,True
11,membranas,NOUN,membranas,NOUN,True
12,de,ADP,de,ADP,True
13,condução,NOUN,condução,NOUN,True
14,protônica,ADJ,protônica,ADJ,True
15,eficientes,ADJ,eficientes,ADJ,True
16,e,CCONJ,e,CCONJ,True
17,de,ADP,de,ADP,True
18,baixo,ADJ,baixo,ADJ,True
19,custo,NOUN,custo,NOUN,True
20,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Portanto,ADV,Portanto,ADV,True
2,",",PUNCT,",",PUNCT,True
3,o,DET,o,DET,True
4,PBE,PROPN,PBE,PROPN,True
5,apresenta,VERB,apresenta,VERB,True
6,características,NOUN,características,NOUN,True
7,térmicas,ADJ,térmicas,ADJ,True
8,e,CCONJ,e,CCONJ,True
9,de,ADP,de,ADP,True
10,estabilidade,NOUN,estabilidade,NOUN,True
11,eletroquímica,ADJ,eletroquímica,ADJ,True
12,adequadas,ADJ,adequadas,ADJ,True
13,para,SCONJ,para,SCONJ,True
14,ser,AUX,ser,AUX,True
15,testado,VERB,testado,VERB,True
16,como,ADP,como,ADP,True
17,membrana,NOUN,membrana,NOUN,True
18,condutora,ADJ,condutora,ADJ,True
19,protônica,ADJ,protônica,ADJ,True
20,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Esta,DET,Esta,DET,True
2,família,NOUN,família,NOUN,True
3,de,ADP,de,ADP,True
4,materiais,NOUN,materiais,NOUN,True
5,",",PUNCT,",",PUNCT,True
6,que,PRON,que,PRON,True
7,apresentam,VERB,apresentam,VERB,True
8,ordem,NOUN,ordem,NOUN,True
9,estrutural,ADJ,estrutural,ADJ,True
10-11,na,_,na,_,True
10,em,ADP,em,ADP,True
11,a,DET,a,DET,True
12,faixa,NOUN,faixa,NOUN,True
13,de,ADP,de,ADP,True
14,nanômetros,NOUN,nanômetros,NOUN,True
15,",",PUNCT,",",PUNCT,True
16,pode,VERB,pode,VERB,True
17,ser,AUX,ser,AUX,True
18,chamada,VERB,chamada,VERB,True
19,de,ADP,de,ADP,True
20,nanopartículas,NOUN,nanopartículas,NOUN,True
21,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Compósitos,NOUN,Compósitos,NOUN,True
2,ou,CCONJ,ou,CCONJ,True
3,nanocompósitos,NOUN,nanocompósitos,NOUN,True
4,são,AUX,são,AUX,True
5,obtidos,VERB,obtidos,VERB,True
6,",",PUNCT,",",PUNCT,True
7,em,ADP,em,ADP,True
8,casos,NOUN,casos,NOUN,True
9,onde,PRON,onde,PRON,True
10,a,DET,a,DET,True
11,matriz,NOUN,matriz,NOUN,True
12,utilizada,VERB,utilizada,VERB,True
13-14,na,_,na,_,True
13,em,ADP,em,ADP,True
14,a,DET,a,DET,True
15,síntese,NOUN,síntese,NOUN,True
16,não,ADV,não,ADV,True
17,é,AUX,é,AUX,True
18,dissolvida,VERB,dissolvida,VERB,True
19,(,PUNCT,(,PUNCT,True
20,template,NOUN,template,NOUN,True
21,),PUNCT,),PUNCT,True
22,",",PUNCT,",",PUNCT,True
23,pois,SCONJ,pois,CCONJ,False
24,as,DET,as,DET,True
25,dimensões,NOUN,dimensões,NOUN,True
26-27,da,_,da,_,True
26,de,ADP,de,ADP,True
27,a,DET,a,DET,True
28,fase,NOUN,fase,NOUN,True
29,polimérica,ADJ,polimérica,ADJ,True
30,sintetizada,VERB,sintetizada,VERB,True
31,estarão,AUX,estarão,AUX,True
32,delimitadas,ADJ,delimitadas,VERB,False
33-34,pelas,_,pelas,_,True
33,por,ADP,por,ADP,True
34,as,DET,as,DET,True
35,dimensões,NOUN,dimensões,NOUN,True
36-37,dos,_,dos,_,True
36,de,ADP,de,ADP,True
37,os,DET,os,DET,True
38,espaços,NOUN,espaços,NOUN,True
39,vazios,ADJ,vazios,ADJ,True
40-41,das,_,das,_,True
40,de,ADP,de,ADP,True
41,as,DET,as,DET,True
42,matrizes,NOUN,matrizes,NOUN,True
43,hospedeiras,ADJ,hospedeiras,ADJ,True
44,",",PUNCT,",",PUNCT,True
45,geralmente,ADV,geralmente,ADV,True
46-47,na,_,na,_,True
46,em,ADP,em,ADP,True
47,a,DET,a,DET,True
48,faixa,NOUN,faixa,NOUN,True
49,de,ADP,de,ADP,True
50,nanômetros,NOUN,nanômetros,NOUN,True
51,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,O,DET,O,DET,True
2,aumento,NOUN,aumento,NOUN,True
3-4,da,_,da,_,True
3,de,ADP,de,ADP,True
4,a,DET,a,DET,True
5,temperatura,NOUN,temperatura,NOUN,True
6,de,ADP,de,ADP,True
7,operação,NOUN,operação,NOUN,True
8-9,da,_,da,_,True
8,de,ADP,de,ADP,True
9,a,DET,a,DET,True
10,célula,NOUN,célula,NOUN,True
11,reduz,VERB,reduz,VERB,True
12,o,DET,o,DET,True
13,envenenamento,NOUN,envenenamento,NOUN,True
14-15,do,_,do,_,True
14,de,ADP,de,ADP,True
15,o,DET,o,DET,True
16,catalisador,NOUN,catalisador,NOUN,True
17,por,ADP,por,ADP,True
18,CO,PROPN,CO,NOUN,False
19,em,ADP,em,ADP,True
20,células,NOUN,células,NOUN,True
21,com,ADP,com,ADP,True
22,hidrogênio,NOUN,hidrogênio,NOUN,True
23,",",PUNCT,",",PUNCT,True
24,e,CCONJ,e,CCONJ,True
25-26,do,_,do,_,True
25,de,ADP,de,ADP,True
26,o,DET,o,DET,True
27,anodo,NOUN,anodo,NOUN,True
28-29,pelos,_,pelos,_,True
28,por,ADP,por,ADP,True
29,os,DET,os,DET,True
30,resíduos,NOUN,resíduos,NOUN,True
31,metanólicos,ADJ,metanólicos,ADJ,True
32,adsorbidos,VERB,adsorbidos,VERB,True
33,em,ADP,em,ADP,True
34,células,NOUN,células,NOUN,True
35,a,ADP,a,ADP,True
36,metanol,NOUN,metanol,NOUN,True
37,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Uma,DET,Uma,DET,True
2,maior,ADJ,maior,ADJ,True
3,temperatura,NOUN,temperatura,NOUN,True
4,de,ADP,de,ADP,True
5,operação,NOUN,operação,NOUN,True
6-7,da,_,da,_,True
6,de,ADP,de,ADP,True
7,a,DET,a,DET,True
8,célula,NOUN,célula,NOUN,True
9,aumentaria,VERB,aumentaria,VERB,True
10,a,DET,a,DET,True
11,velocidade,NOUN,velocidade,NOUN,True
12-13,da,_,da,_,True
12,de,ADP,de,ADP,True
13,a,DET,a,DET,True
14,reação,NOUN,reação,NOUN,True
15,de,ADP,de,ADP,True
16,oxidação,NOUN,oxidação,NOUN,True
17-18,do,_,do,_,True
17,de,ADP,de,ADP,True
18,o,DET,o,DET,True
19,metanol,NOUN,metanol,NOUN,True
20,e,CCONJ,e,CCONJ,True
21,diminuiria,VERB,diminuiria,VERB,True
22,o,DET,o,DET,True
23,envenenamento,NOUN,envenenamento,NOUN,True
24-25,do,_,do,_,True
24,de,ADP,de,ADP,True
25,o,DET,o,DET,True
26,eletrocatalisador,ADJ,eletrocatalisador,NOUN,False
27,por,ADP,por,ADP,True
28,CO,PROPN,CO,PROPN,True
29,(,PUNCT,(,PUNCT,True
30,para,ADP,para,ADP,True
31,o,DET,o,DET,True
32,combustível,NOUN,combustível,NOUN,True
33,H2,PROPN,H2,PROPN,True
34,),PUNCT,),PUNCT,True
35,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Aumentaram,VERB,Aumentaram,VERB,True
2,a,DET,a,DET,True
3,condutividade,NOUN,condutividade,NOUN,True
4,protônica,ADJ,protônica,ADJ,True
5,e,CCONJ,e,CCONJ,True
6,a,DET,a,DET,True
7,retenção,NOUN,retenção,NOUN,True
8,de,ADP,de,ADP,True
9,água,NOUN,água,NOUN,True
10-11,do,_,do,_,True
10,de,ADP,de,ADP,True
11,o,DET,o,DET,True
12,eletrólito,NOUN,eletrólito,NOUN,True
13,a,ADP,a,ADP,True
14,temperaturas,NOUN,temperaturas,NOUN,True
15,de,ADP,de,ADP,True
16,operação,NOUN,operação,NOUN,True
17-18,da,_,da,_,True
17,de,ADP,de,ADP,True
18,a,DET,a,DET,True
19,célula,NOUN,célula,NOUN,True
20,de,ADP,de,ADP,True
21,150,NUM,150,NUM,True
22,°C,NOUN,°C,SYM,False
23,.,PUNCT,.,PUNCT,True







